image_weight,sensor_weight,disagreement_observations,fusion_follows_image_count,fusion_follows_image_pct,fusion_follows_sensor_count,fusion_follows_sensor_pct,balance_gap_percentage_points
0.47,0.53,863,241,27.925840092699882,622,72.07415990730011,44.14831981460023
0.471,0.529,863,247,28.621089223638467,616,71.37891077636152,42.75782155272306
0.472,0.528,863,250,28.968713789107763,613,71.03128621089225,42.06257242178448
0.473,0.527,863,252,29.200463499420625,611,70.79953650057938,41.59907300115876
0.474,0.526,863,264,30.590961761297798,599,69.40903823870221,38.81807647740441
0.475,0.525,863,269,31.170336037079956,594,68.82966396292005,37.659327925840095
0.476,0.524,863,274,31.749710312862113,589,68.2502896871379,36.50057937427578
0.477,0.523,863,278,32.21320973348784,585,67.78679026651217,35.573580533024334
0.478,0.522,863,281,32.560834298957126,582,67.43916570104287,34.87833140208574
0.479,0.521,863,281,32.560834298957126,582,67.43916570104287,34.87833140208574
0.48,0.52,863,282,32.67670915411356,581,67.32329084588645,34.64658169177289
0.481,0.519,863,287,33.25608342989571,576,66.74391657010429,33.48783314020858
0.482,0.518,863,294,34.06720741599073,569,65.93279258400926,31.865585168018534
0.483,0.517,863,317,36.73232908458864,546,63.26767091541136,26.535341830822716
0.484,0.516,863,326,37.77520278099652,537,62.22479721900348,24.449594438006955
0.485,0.515,863,348,40.32444959443801,515,59.67555040556199,19.351100811123985
0.486,0.514,863,352,40.78794901506373,511,59.21205098493627,18.424101969872538
0.487,0.513,863,421,48.783314020857475,442,51.216685979142525,2.4333719582850506
0.488,0.512,863,441,51.10081112398609,422,48.8991888760139,2.201622247972189
0.489,0.511,863,497,57.58980301274623,366,42.41019698725377,15.179606025492461
0.49,0.51,863,523,60.60254924681344,340,39.39745075318656,21.205098493626878
0.491,0.509,863,541,62.6882966396292,322,37.3117033603708,25.3765932792584
0.492,0.508,863,556,64.42641946697567,307,35.573580533024334,28.85283893395134
0.493,0.507,863,563,65.23754345307069,300,34.762456546929315,30.47508690614137
0.494,0.506,863,584,67.67091541135574,279,32.329084588644264,35.34183082271147
0.495,0.505,863,610,70.68366164542294,253,29.31633835457706,41.36732329084589
0.496,0.504,863,640,74.15990730011588,223,25.840092699884128,48.31981460023175
0.497,0.503,863,694,80.41714947856316,169,19.58285052143685,60.83429895712631
0.498,0.502,863,716,82.96639629200465,147,17.033603707995365,65.93279258400928
0.499,0.501,863,726,84.12514484356895,137,15.874855156431057,68.2502896871379
0.5,0.5,863,736,85.28389339513326,127,14.716106604866743,70.56778679026652
