image_weight,sensor_weight,decision_threshold,plant_observations,unique_captures,image_sensor_disagreements,image_fusion_agreement_pct,sensor_fusion_agreement_pct,fusion_follows_image_count,fusion_follows_image_pct,fusion_follows_sensor_count,fusion_follows_sensor_pct,fusion_healthy_count,fusion_unhealthy_count,mean_fusion_confidence,mean_fusion_risk
0.0,1.0,0.5,1750,147,863,50.68571428571429,100.0,0,0.0,863,100.0,833,917,0.7993885714285713,0.633727619047619
0.1,0.9,0.5,1750,147,863,51.542857142857144,99.14285714285714,15,1.738122827346466,848,98.26187717265353,842,908,0.7700468051564354,0.5804624978179932
0.2,0.8,0.5,1750,147,863,57.371428571428574,93.31428571428572,117,13.557358053302435,746,86.44264194669756,930,820,0.7443338246874127,0.5271973765883673
0.3,0.7,0.5,1750,147,863,59.08571428571429,91.60000000000001,147,17.033603707995365,716,82.96639629200465,948,802,0.7228945530532656,0.47393225535874134
0.4,0.6,0.5,1750,147,863,59.48571428571429,91.2,154,17.84472769409038,709,82.15527230590962,941,809,0.7031834279512678,0.4206671341291155
0.5,0.5,0.5,1750,147,863,92.74285714285713,57.94285714285714,736,85.28389339513326,127,14.716106604866743,1507,243,0.6929642578701746,0.36740201289948965
0.6,0.4,0.5,1750,147,863,98.11428571428571,52.57142857142857,830,96.17612977983777,33,3.8238702201622248,1591,159,0.7447370386835733,0.31413689166986375
0.7,0.3,0.5,1750,147,863,98.91428571428571,51.771428571428565,844,97.7983777520278,19,2.20162224797219,1595,155,0.7990744682393756,0.2608717704402379
0.8,0.2,0.5,1750,147,863,99.54285714285714,51.142857142857146,855,99.07300115874855,8,0.9269988412514484,1598,152,0.853992300418672,0.20760664921061198
0.9,0.1,0.5,1750,147,863,99.77142857142857,50.91428571428571,859,99.53650057937428,4,0.4634994206257242,1598,152,0.9092616318012419,0.1543415279809861
1.0,0.0,0.5,1750,147,863,100.0,50.68571428571429,863,100.0,0,0.0,1600,150,0.9647156709943498,0.10107640675136022
