capture_id,timestamp,plant_id,camera_lux,image_label,image_confidence,image_risk,sensor_label,sensor_confidence,sensor_risk,tested_image_weight,tested_sensor_weight,tested_fusion_risk,tested_fusion_label,tested_fusion_confidence,fusion_follows
CAP_20260816_153653,2026-08-16 15:36:53,P08,331.30987548828125,unhealthy,0.5419292449951172,0.5419292449951172,healthy,0.6866666666666666,0.31333333333333335,0.0,1.0,0.31333333333333335,healthy,0.6866666666666666,sensor
CAP_20260817_060004,2026-08-17 06:00:04,P11,15.030524253845215,unhealthy,0.7919834852218628,0.7919834852218628,healthy,0.53,0.47,0.0,1.0,0.47,healthy,0.53,sensor
CAP_20260817_060004,2026-08-17 06:00:04,P12,15.030524253845215,unhealthy,0.5883285999298096,0.5883285999298096,healthy,0.53,0.47,0.0,1.0,0.47,healthy,0.53,sensor
CAP_20260817_070004,2026-08-17 07:00:04,P02,101.51020050048828,unhealthy,0.6761366128921509,0.6761366128921509,healthy,0.5366666666666666,0.4633333333333334,0.0,1.0,0.4633333333333334,healthy,0.5366666666666666,sensor
CAP_20260817_070004,2026-08-17 07:00:04,P10,101.51020050048828,unhealthy,0.9048683047294617,0.9048683047294617,healthy,0.5366666666666666,0.4633333333333334,0.0,1.0,0.4633333333333334,healthy,0.5366666666666666,sensor
CAP_20260817_080003,2026-08-17 08:00:03,P02,134.4456024169922,unhealthy,0.6028149127960205,0.6028149127960205,healthy,0.57,0.43000000000000005,0.0,1.0,0.43000000000000005,healthy,0.57,sensor
CAP_20260817_080003,2026-08-17 08:00:03,P07,134.4456024169922,unhealthy,0.5200368762016296,0.5200368762016296,healthy,0.57,0.43000000000000005,0.0,1.0,0.43000000000000005,healthy,0.57,sensor
CAP_20260817_080003,2026-08-17 08:00:03,P10,134.4456024169922,unhealthy,0.9466215372085571,0.9466215372085571,healthy,0.57,0.43000000000000005,0.0,1.0,0.43000000000000005,healthy,0.57,sensor
CAP_20260817_080003,2026-08-17 08:00:03,P11,134.4456024169922,unhealthy,0.9546962976455688,0.9546962976455688,healthy,0.57,0.43000000000000005,0.0,1.0,0.43000000000000005,healthy,0.57,sensor
CAP_20260817_080003,2026-08-17 08:00:03,P12,134.4456024169922,unhealthy,0.760883629322052,0.760883629322052,healthy,0.57,0.43000000000000005,0.0,1.0,0.43000000000000005,healthy,0.57,sensor
CAP_20260817_090003,2026-08-17 09:00:03,P07,196.75216674804688,unhealthy,0.537373960018158,0.537373960018158,healthy,0.57,0.43000000000000005,0.0,1.0,0.43000000000000005,healthy,0.57,sensor
CAP_20260817_090003,2026-08-17 09:00:03,P10,196.75216674804688,unhealthy,0.8803223967552185,0.8803223967552185,healthy,0.57,0.43000000000000005,0.0,1.0,0.43000000000000005,healthy,0.57,sensor
CAP_20260817_090003,2026-08-17 09:00:03,P11,196.75216674804688,unhealthy,0.5493806600570679,0.5493806600570679,healthy,0.57,0.43000000000000005,0.0,1.0,0.43000000000000005,healthy,0.57,sensor
CAP_20260817_090003,2026-08-17 09:00:03,P12,196.75216674804688,unhealthy,0.693871796131134,0.693871796131134,healthy,0.57,0.43000000000000005,0.0,1.0,0.43000000000000005,healthy,0.57,sensor
CAP_20260817_100003,2026-08-17 10:00:03,P07,211.75936889648438,unhealthy,0.574641227722168,0.574641227722168,healthy,0.5733333333333334,0.42666666666666664,0.0,1.0,0.42666666666666664,healthy,0.5733333333333334,sensor
CAP_20260817_100003,2026-08-17 10:00:03,P10,211.75936889648438,unhealthy,0.8064864277839661,0.8064864277839661,healthy,0.5733333333333334,0.42666666666666664,0.0,1.0,0.42666666666666664,healthy,0.5733333333333334,sensor
CAP_20260817_100003,2026-08-17 10:00:03,P11,211.75936889648438,unhealthy,0.8867813944816589,0.8867813944816589,healthy,0.5733333333333334,0.42666666666666664,0.0,1.0,0.42666666666666664,healthy,0.5733333333333334,sensor
CAP_20260817_100003,2026-08-17 10:00:03,P12,211.75936889648438,unhealthy,0.76130211353302,0.76130211353302,healthy,0.5733333333333334,0.42666666666666664,0.0,1.0,0.42666666666666664,healthy,0.5733333333333334,sensor
CAP_20260817_110003,2026-08-17 11:00:03,P10,238.82334899902344,unhealthy,0.6215085387229919,0.6215085387229919,healthy,0.57,0.43000000000000005,0.0,1.0,0.43000000000000005,healthy,0.57,sensor
CAP_20260817_110003,2026-08-17 11:00:03,P11,238.82334899902344,unhealthy,0.5379655957221985,0.5379655957221985,healthy,0.57,0.43000000000000005,0.0,1.0,0.43000000000000005,healthy,0.57,sensor
CAP_20260817_120003,2026-08-17 12:00:03,P07,326.979248046875,unhealthy,0.572977602481842,0.572977602481842,healthy,0.5666666666666667,0.43333333333333335,0.0,1.0,0.43333333333333335,healthy,0.5666666666666667,sensor
