image_weight,sensor_weight,fusion_threshold,samples,accuracy,balanced_accuracy,macro_f1,unhealthy_precision,unhealthy_recall,unhealthy_f1,healthy_correct_tn,healthy_as_unhealthy_fp,unhealthy_as_healthy_fn,unhealthy_correct_tp
0.0,1.0,0.5,149,0.4429530201342282,0.4232943469785575,0.4225615165522716,0.2835820895522388,0.35185185185185186,0.3140495867768595,47,48,35,19
0.01,0.99,0.5,149,0.4429530201342282,0.4232943469785575,0.4225615165522716,0.2835820895522388,0.35185185185185186,0.3140495867768595,47,48,35,19
0.02,0.98,0.5,149,0.4429530201342282,0.4232943469785575,0.4225615165522716,0.2835820895522388,0.35185185185185186,0.3140495867768595,47,48,35,19
0.03,0.97,0.5,149,0.4429530201342282,0.4232943469785575,0.4225615165522716,0.2835820895522388,0.35185185185185186,0.3140495867768595,47,48,35,19
0.04,0.96,0.5,149,0.4429530201342282,0.4232943469785575,0.4225615165522716,0.2835820895522388,0.35185185185185186,0.3140495867768595,47,48,35,19
0.05,0.95,0.5,149,0.4429530201342282,0.4232943469785575,0.4225615165522716,0.2835820895522388,0.35185185185185186,0.3140495867768595,47,48,35,19
0.06,0.94,0.5,149,0.4429530201342282,0.4232943469785575,0.4225615165522716,0.2835820895522388,0.35185185185185186,0.3140495867768595,47,48,35,19
0.07,0.93,0.5,149,0.4429530201342282,0.4232943469785575,0.4225615165522716,0.2835820895522388,0.35185185185185186,0.3140495867768595,47,48,35,19
0.08,0.92,0.5,149,0.4429530201342282,0.4232943469785575,0.4225615165522716,0.2835820895522388,0.35185185185185186,0.3140495867768595,47,48,35,19
0.09,0.91,0.5,149,0.4429530201342282,0.4232943469785575,0.4225615165522716,0.2835820895522388,0.35185185185185186,0.3140495867768595,47,48,35,19
0.1,0.9,0.5,149,0.4429530201342282,0.4232943469785575,0.4225615165522716,0.2835820895522388,0.35185185185185186,0.3140495867768595,47,48,35,19
0.11,0.89,0.5,149,0.4429530201342282,0.4232943469785575,0.4225615165522716,0.2835820895522388,0.35185185185185186,0.3140495867768595,47,48,35,19
0.12,0.88,0.5,149,0.4429530201342282,0.4232943469785575,0.4225615165522716,0.2835820895522388,0.35185185185185186,0.3140495867768595,47,48,35,19
0.13,0.87,0.5,149,0.4429530201342282,0.4232943469785575,0.4225615165522716,0.2835820895522388,0.35185185185185186,0.3140495867768595,47,48,35,19
0.14,0.86,0.5,149,0.4429530201342282,0.4232943469785575,0.4225615165522716,0.2835820895522388,0.35185185185185186,0.3140495867768595,47,48,35,19
0.15,0.85,0.5,149,0.436241610738255,0.41803118908382064,0.41710134128166915,0.27941176470588236,0.35185185185185186,0.3114754098360656,46,49,35,19
0.16,0.84,0.5,149,0.436241610738255,0.41803118908382064,0.41710134128166915,0.27941176470588236,0.35185185185185186,0.3114754098360656,46,49,35,19
0.17,0.83,0.5,149,0.436241610738255,0.41803118908382064,0.41710134128166915,0.27941176470588236,0.35185185185185186,0.3114754098360656,46,49,35,19
0.18,0.82,0.5,149,0.42953020134228187,0.4127680311890838,0.4116144018583043,0.2753623188405797,0.35185185185185186,0.3089430894308943,45,50,35,19
0.19,0.81,0.5,149,0.42953020134228187,0.4127680311890838,0.4116144018583043,0.2753623188405797,0.35185185185185186,0.3089430894308943,45,50,35,19
0.2,0.8,0.5,149,0.42953020134228187,0.4127680311890838,0.4116144018583043,0.2753623188405797,0.35185185185185186,0.3089430894308943,45,50,35,19
0.21,0.79,0.5,149,0.42953020134228187,0.4127680311890838,0.4116144018583043,0.2753623188405797,0.35185185185185186,0.3089430894308943,45,50,35,19
0.22,0.78,0.5,149,0.4228187919463087,0.407504873294347,0.4060993696700037,0.2714285714285714,0.35185185185185186,0.3064516129032258,44,51,35,19
0.23,0.77,0.5,149,0.4228187919463087,0.407504873294347,0.4060993696700037,0.2714285714285714,0.35185185185185186,0.3064516129032258,44,51,35,19
0.24,0.76,0.5,149,0.4228187919463087,0.407504873294347,0.4060993696700037,0.2714285714285714,0.35185185185185186,0.3064516129032258,44,51,35,19
0.25,0.75,0.5,149,0.4228187919463087,0.407504873294347,0.4060993696700037,0.2714285714285714,0.35185185185185186,0.3064516129032258,44,51,35,19
0.26,0.74,0.5,149,0.4228187919463087,0.407504873294347,0.4060993696700037,0.2714285714285714,0.35185185185185186,0.3064516129032258,44,51,35,19
0.27,0.73,0.5,149,0.436241610738255,0.4260233918128655,0.42248062015503873,0.2916666666666667,0.3888888888888889,0.3333333333333333,44,51,33,21
0.28,0.72,0.5,149,0.436241610738255,0.4260233918128655,0.42248062015503873,0.2916666666666667,0.3888888888888889,0.3333333333333333,44,51,33,21
0.29,0.71,0.5,149,0.436241610738255,0.4260233918128655,0.42248062015503873,0.2916666666666667,0.3888888888888889,0.3333333333333333,44,51,33,21
0.3,0.7,0.5,149,0.436241610738255,0.4260233918128655,0.42248062015503873,0.2916666666666667,0.3888888888888889,0.3333333333333333,44,51,33,21
0.31,0.69,0.5,149,0.4429530201342282,0.4352826510721247,0.43053828797716076,0.3013698630136986,0.4074074074074074,0.3464566929133858,44,51,32,22
0.32,0.68,0.5,149,0.4429530201342282,0.4352826510721247,0.43053828797716076,0.3013698630136986,0.4074074074074074,0.3464566929133858,44,51,32,22
0.33,0.67,0.5,149,0.4429530201342282,0.4352826510721247,0.43053828797716076,0.3013698630136986,0.4074074074074074,0.3464566929133858,44,51,32,22
0.34,0.66,0.5,149,0.4429530201342282,0.4352826510721247,0.43053828797716076,0.3013698630136986,0.4074074074074074,0.3464566929133858,44,51,32,22
0.35,0.65,0.5,149,0.4429530201342282,0.4352826510721247,0.43053828797716076,0.3013698630136986,0.4074074074074074,0.3464566929133858,44,51,32,22
