experiment,threshold,samples,accuracy,balanced_accuracy,macro_f1,unhealthy_precision,unhealthy_recall,unhealthy_f1,healthy_correct_tn,healthy_as_unhealthy_fp,unhealthy_as_healthy_fn,unhealthy_correct_tp
E1_Image_Only_Default_0.50,0.5,149,0.7449664429530202,0.6961013645224172,0.7047350855235711,0.7,0.5185185185185185,0.5957446808510638,83,12,26,28
E1b_Image_Only_Candidate_0.42,0.42,149,0.7785234899328859,0.7463937621832359,0.7528773181886717,0.723404255319149,0.6296296296296297,0.6732673267326733,82,13,20,34
E2_Sensor_Only_0.50,0.5,149,0.4429530201342282,0.4232943469785575,0.4225615165522716,0.2835820895522388,0.35185185185185186,0.3140495867768595,47,48,35,19
