selection,image_weight,sensor_weight,fusion_threshold,samples,accuracy,balanced_accuracy,macro_f1,unhealthy_precision,unhealthy_recall,unhealthy_f1,healthy_correct_tn,healthy_as_unhealthy_fp,unhealthy_as_healthy_fn,unhealthy_correct_tp
best_macro_f1,0.89,0.11,0.5,149.0,0.7516778523489933,0.7053606237816765,0.7141301529686285,0.7073170731707317,0.5370370370370371,0.6105263157894737,83.0,12.0,25.0,29.0
best_balanced_accuracy,0.89,0.11,0.5,149.0,0.7516778523489933,0.7053606237816765,0.7141301529686285,0.7073170731707317,0.5370370370370371,0.6105263157894737,83.0,12.0,25.0,29.0
best_unhealthy_f1,0.89,0.11,0.5,149.0,0.7516778523489933,0.7053606237816765,0.7141301529686285,0.7073170731707317,0.5370370370370371,0.6105263157894737,83.0,12.0,25.0,29.0
best_accuracy,0.89,0.11,0.5,149.0,0.7516778523489933,0.7053606237816765,0.7141301529686285,0.7073170731707317,0.5370370370370371,0.6105263157894737,83.0,12.0,25.0,29.0
equal_50_50,0.5,0.5,0.5,149.0,0.5570469798657718,0.5447368421052632,0.5396067415730337,0.4090909090909091,0.5,0.45,56.0,39.0,27.0,27.0
old_production_60_40,0.6,0.4,0.5,149.0,0.7046979865771812,0.6645224171539961,0.6688888888888889,0.6086956521739131,0.5185185185185185,0.56,77.0,18.0,26.0,28.0
