experiment,threshold,samples,accuracy,balanced_accuracy,macro_f1,unhealthy_precision,unhealthy_recall,unhealthy_f1,roc_auc,average_precision,brier_score,healthy_correct_tn,healthy_as_unhealthy_fp,unhealthy_as_healthy_fn,unhealthy_correct_tp
Old_Sensor_RF_6Feature_Threshold_0.50,0.5,149,0.4429530201342282,0.4232943469785575,0.4225615165522716,0.2835820895522388,0.35185185185185186,0.3140495867768595,0.5587719298245615,0.41827334279592715,0.4159326621923937,47,48,35,19
New_Sensor_RF_5Feature_Threshold_0.50,0.5,149,0.46308724832214765,0.4111111111111111,0.4091990483743061,0.24,0.2222222222222222,0.23076923076923078,0.4942495126705653,0.4263157196943847,0.40195591147651005,57,38,42,12
New_Sensor_RF_5Feature_Selected_Threshold_0.48,0.48,149,0.46308724832214765,0.4111111111111111,0.4091990483743061,0.24,0.2222222222222222,0.23076923076923078,0.4942495126705653,0.4263157196943847,0.40195591147651005,57,38,42,12
