selection,threshold,accuracy,balanced_accuracy,macro_f1,unhealthy_precision,unhealthy_recall,unhealthy_f1,false_positives,false_negatives,true_positives,true_negatives
default_0.50,0.5,0.7449664429530202,0.6961013645224172,0.7047350855235711,0.7,0.5185185185185185,0.5957446808510638,12,26,28,83
best_macro_f1,0.42,0.7785234899328859,0.7463937621832359,0.7528773181886717,0.723404255319149,0.6296296296296297,0.6732673267326733,13,20,34,82
best_balanced_accuracy,0.17,0.7315436241610739,0.7535087719298246,0.7271062271062271,0.5921052631578947,0.8333333333333334,0.6923076923076923,31,9,45,64
best_unhealthy_f1,0.17,0.7315436241610739,0.7535087719298246,0.7271062271062271,0.5921052631578947,0.8333333333333334,0.6923076923076923,31,9,45,64
best_accuracy,0.42,0.7785234899328859,0.7463937621832359,0.7528773181886717,0.723404255319149,0.6296296296296297,0.6732673267326733,13,20,34,82
