experiment,threshold,samples,accuracy,balanced_accuracy,macro_f1,unhealthy_precision,unhealthy_recall,unhealthy_f1,roc_auc,average_precision,brier_score,healthy_correct_tn,healthy_as_unhealthy_fp,unhealthy_as_healthy_fn,unhealthy_correct_tp,image_weight,sensor_weight
Fusion_50_50,0.5,149,0.610738255033557,0.5948343079922027,0.5906593406593407,0.46774193548387094,0.5370370370370371,0.5,0.6504873294346979,0.5371763067435812,0.2271500104671619,62,33,25,29,0.5,0.5
Fusion_60_40,0.5,149,0.7449664429530202,0.7120857699805068,0.7167867146858744,0.6666666666666666,0.5925925925925926,0.6274509803921569,0.7060428849902534,0.5854851826316835,0.20796617369682432,79,16,22,32,0.6,0.4
Fusion_70_30,0.5,149,0.738255033557047,0.6948343079922028,0.7019541467918141,0.6744186046511628,0.5370370370370371,0.5979381443298969,0.7296296296296296,0.6116442771672316,0.19404145140366405,81,14,25,29,0.7,0.30000000000000004
Fusion_80_20,0.5,149,0.738255033557047,0.6948343079922028,0.7019541467918141,0.6744186046511628,0.5370370370370371,0.5979381443298969,0.7567251461988305,0.6122830902287006,0.1853758435876811,81,14,25,29,0.8,0.19999999999999996
Fusion_90_10,0.5,149,0.7516778523489933,0.7053606237816765,0.7141301529686285,0.7073170731707317,0.5370370370370371,0.6105263157894737,0.7801169590643275,0.61290666733664,0.18196935024887556,83,12,25,29,0.9,0.09999999999999998
Best_Exploratory_Fusion_Image0.60_Sensor0.40,0.5,149,0.7449664429530202,0.7120857699805068,0.7167867146858744,0.6666666666666666,0.5925925925925926,0.6274509803921569,0.7060428849902534,0.5854851826316835,0.20796617369682432,79,16,22,32,0.6,0.4
