experiment,threshold,samples,accuracy,balanced_accuracy,macro_f1,unhealthy_precision,unhealthy_recall,unhealthy_f1,roc_auc,average_precision,brier_score,healthy_correct_tn,healthy_as_unhealthy_fp,unhealthy_as_healthy_fn,unhealthy_correct_tp,image_weight,sensor_weight
E1_New_MobileNetV2_Image_Only,0.42,149,0.7785234899328859,0.7463937621832359,0.7528773181886717,0.723404255319149,0.6296296296296297,0.6732673267326733,0.8050682261208577,0.6173797973612528,0.18382197138724723,82,13,20,34,,
E2_New_RF_5Feature_Sensor_Only_VisualReference,0.48,149,0.46308724832214765,0.4111111111111111,0.4091990483743061,0.24,0.2222222222222222,0.23076923076923078,0.4942495126705653,0.4263157196943847,0.4019559114765101,57,38,42,12,,
E3_Reference_Fusion_Image060_Sensor040,0.5,149,0.7449664429530202,0.7120857699805068,0.7167867146858744,0.6666666666666666,0.5925925925925926,0.6274509803921569,0.7060428849902534,0.5854851826316835,0.20796617369682432,79,16,22,32,0.6,0.4
