capture_id,plant_id,ground_truth,E1_image_prediction,E2_sensor_environment_prediction,E4_complementary_state
CAP_20260829_160004,P02,healthy,healthy,healthy,HEALTHY / STABLE
CAP_20260829_160004,P03,healthy,healthy,healthy,HEALTHY / STABLE
CAP_20260829_160004,P04,healthy,healthy,healthy,HEALTHY / STABLE
CAP_20260829_160004,P05,healthy,healthy,healthy,HEALTHY / STABLE
CAP_20260829_160004,P06,healthy,healthy,healthy,HEALTHY / STABLE
CAP_20260829_160004,P07,healthy,healthy,healthy,HEALTHY / STABLE
CAP_20260829_160004,P09,healthy,healthy,healthy,HEALTHY / STABLE
CAP_20260829_160004,P10,healthy,healthy,healthy,HEALTHY / STABLE
CAP_20260829_160004,P11,healthy,healthy,healthy,HEALTHY / STABLE
CAP_20260829_160004,P12,healthy,unhealthy,healthy,VISIBLE PLANT STRESS - ENVIRONMENT CURRENTLY NORMAL
CAP_20260830_063007,P02,healthy,healthy,healthy,HEALTHY / STABLE
CAP_20260830_063007,P03,healthy,healthy,healthy,HEALTHY / STABLE
CAP_20260830_063007,P04,healthy,healthy,healthy,HEALTHY / STABLE
CAP_20260830_063007,P05,healthy,healthy,healthy,HEALTHY / STABLE
CAP_20260830_063007,P06,healthy,healthy,healthy,HEALTHY / STABLE
CAP_20260830_063007,P07,healthy,healthy,healthy,HEALTHY / STABLE
CAP_20260830_063007,P10,healthy,healthy,healthy,HEALTHY / STABLE
CAP_20260830_063007,P11,healthy,healthy,healthy,HEALTHY / STABLE
CAP_20260830_063007,P12,healthy,unhealthy,healthy,VISIBLE PLANT STRESS - ENVIRONMENT CURRENTLY NORMAL
CAP_20260830_070004,P01,healthy,healthy,healthy,HEALTHY / STABLE
CAP_20260830_070004,P02,healthy,healthy,healthy,HEALTHY / STABLE
CAP_20260830_070004,P03,healthy,healthy,healthy,HEALTHY / STABLE
CAP_20260830_070004,P04,healthy,healthy,healthy,HEALTHY / STABLE
CAP_20260830_070004,P05,healthy,healthy,healthy,HEALTHY / STABLE
CAP_20260830_070004,P06,healthy,healthy,healthy,HEALTHY / STABLE
CAP_20260830_070004,P07,healthy,healthy,healthy,HEALTHY / STABLE
CAP_20260830_070004,P10,healthy,healthy,healthy,HEALTHY / STABLE
CAP_20260830_070004,P11,healthy,healthy,healthy,HEALTHY / STABLE
CAP_20260830_070004,P12,healthy,unhealthy,healthy,VISIBLE PLANT STRESS - ENVIRONMENT CURRENTLY NORMAL
CAP_20260901_080006,P01,unhealthy,unhealthy,unhealthy,HIGH RISK - VISIBLE + ENVIRONMENTAL STRESS
CAP_20260901_080006,P02,healthy,healthy,unhealthy,EARLY ENVIRONMENTAL WARNING
CAP_20260901_080006,P03,healthy,unhealthy,unhealthy,HIGH RISK - VISIBLE + ENVIRONMENTAL STRESS
CAP_20260901_080006,P04,unhealthy,unhealthy,unhealthy,HIGH RISK - VISIBLE + ENVIRONMENTAL STRESS
CAP_20260901_080006,P05,unhealthy,unhealthy,unhealthy,HIGH RISK - VISIBLE + ENVIRONMENTAL STRESS
CAP_20260901_080006,P06,unhealthy,healthy,unhealthy,EARLY ENVIRONMENTAL WARNING
CAP_20260901_080006,P07,healthy,healthy,unhealthy,EARLY ENVIRONMENTAL WARNING
CAP_20260901_080006,P09,unhealthy,unhealthy,unhealthy,HIGH RISK - VISIBLE + ENVIRONMENTAL STRESS
CAP_20260901_080006,P10,healthy,healthy,unhealthy,EARLY ENVIRONMENTAL WARNING
CAP_20260901_080006,P11,healthy,healthy,unhealthy,EARLY ENVIRONMENTAL WARNING
CAP_20260901_090003,P01,unhealthy,unhealthy,healthy,VISIBLE PLANT STRESS - ENVIRONMENT CURRENTLY NORMAL
CAP_20260901_090003,P02,healthy,healthy,healthy,HEALTHY / STABLE
CAP_20260901_090003,P03,healthy,healthy,healthy,HEALTHY / STABLE
CAP_20260901_090003,P04,unhealthy,unhealthy,healthy,VISIBLE PLANT STRESS - ENVIRONMENT CURRENTLY NORMAL
CAP_20260901_090003,P05,unhealthy,unhealthy,healthy,VISIBLE PLANT STRESS - ENVIRONMENT CURRENTLY NORMAL
CAP_20260901_090003,P06,unhealthy,unhealthy,healthy,VISIBLE PLANT STRESS - ENVIRONMENT CURRENTLY NORMAL
CAP_20260901_090003,P07,unhealthy,healthy,healthy,HEALTHY / STABLE
CAP_20260901_090003,P09,unhealthy,unhealthy,healthy,VISIBLE PLANT STRESS - ENVIRONMENT CURRENTLY NORMAL
CAP_20260901_090003,P10,healthy,healthy,healthy,HEALTHY / STABLE
CAP_20260901_090003,P11,unhealthy,healthy,healthy,HEALTHY / STABLE
CAP_20260901_090003,P12,unhealthy,healthy,healthy,HEALTHY / STABLE
CAP_20260901_100004,P01,unhealthy,unhealthy,healthy,VISIBLE PLANT STRESS - ENVIRONMENT CURRENTLY NORMAL
CAP_20260901_100004,P04,unhealthy,unhealthy,healthy,VISIBLE PLANT STRESS - ENVIRONMENT CURRENTLY NORMAL
