comparison,iteration,metric,difference
Fusion_60_40_minus_Image_Only,14,unhealthy_f1,-0.042293906810035864
Fusion_60_40_minus_Image_Only,15,accuracy,-0.042553191489361764
Fusion_60_40_minus_Image_Only,15,balanced_accuracy,-0.05700808625336928
Fusion_60_40_minus_Image_Only,15,macro_f1,-0.05647153060543353
Fusion_60_40_minus_Image_Only,15,unhealthy_recall,-0.08571428571428574
Fusion_60_40_minus_Image_Only,15,unhealthy_f1,-0.08450704225352113
Fusion_60_40_minus_Image_Only,16,accuracy,-0.01379310344827589
Fusion_60_40_minus_Image_Only,16,balanced_accuracy,-0.00222795497185746
Fusion_60_40_minus_Image_Only,16,macro_f1,-0.008714748035136388
Fusion_60_40_minus_Image_Only,16,unhealthy_recall,0.024390243902439046
Fusion_60_40_minus_Image_Only,16,unhealthy_f1,-0.004761904761904745
Fusion_60_40_minus_Image_Only,17,accuracy,-0.05369127516778527
Fusion_60_40_minus_Image_Only,17,balanced_accuracy,-0.05091911764705881
Fusion_60_40_minus_Image_Only,17,macro_f1,-0.05267719852123276
Fusion_60_40_minus_Image_Only,17,unhealthy_recall,-0.03125
Fusion_60_40_minus_Image_Only,17,unhealthy_f1,-0.053427419354838745
Fusion_60_40_minus_Image_Only,18,accuracy,-0.05590062111801242
Fusion_60_40_minus_Image_Only,18,balanced_accuracy,-0.051658163265306145
Fusion_60_40_minus_Image_Only,18,macro_f1,-0.057796061770093776
Fusion_60_40_minus_Image_Only,18,unhealthy_recall,-0.04081632653061229
Fusion_60_40_minus_Image_Only,18,unhealthy_f1,-0.07157894736842096
Fusion_60_40_minus_Image_Only,19,accuracy,-0.12587412587412594
Fusion_60_40_minus_Image_Only,19,balanced_accuracy,-0.12539123630672921
Fusion_60_40_minus_Image_Only,19,macro_f1,-0.13478786860033298
Fusion_60_40_minus_Image_Only,19,unhealthy_recall,-0.19444444444444442
Fusion_60_40_minus_Image_Only,19,unhealthy_f1,-0.1766660152433066
Fusion_60_40_minus_Image_Only,20,accuracy,-0.028368794326241176
Fusion_60_40_minus_Image_Only,20,balanced_accuracy,-0.031172839506173
Fusion_60_40_minus_Image_Only,20,macro_f1,-0.0315213101083488
Fusion_60_40_minus_Image_Only,20,unhealthy_recall,-0.050000000000000044
Fusion_60_40_minus_Image_Only,20,unhealthy_f1,-0.042152243987106375
Fusion_60_40_minus_Image_Only,21,accuracy,-0.06153846153846154
Fusion_60_40_minus_Image_Only,21,balanced_accuracy,-0.06349964191931234
Fusion_60_40_minus_Image_Only,21,macro_f1,-0.06577149265828519
Fusion_60_40_minus_Image_Only,21,unhealthy_recall,-0.0847457627118644
Fusion_60_40_minus_Image_Only,21,unhealthy_f1,-0.08309143686502174
Fusion_60_40_minus_Image_Only,22,accuracy,-0.10738255033557043
Fusion_60_40_minus_Image_Only,22,balanced_accuracy,-0.1438223938223938
Fusion_60_40_minus_Image_Only,22,macro_f1,-0.1389277389277389
Fusion_60_40_minus_Image_Only,22,unhealthy_recall,-0.21621621621621617
Fusion_60_40_minus_Image_Only,22,unhealthy_f1,-0.20512820512820512
Fusion_60_40_minus_Image_Only,23,accuracy,-0.051094890510948954
Fusion_60_40_minus_Image_Only,23,balanced_accuracy,-0.05010683760683765
Fusion_60_40_minus_Image_Only,23,macro_f1,-0.05256639003073926
Fusion_60_40_minus_Image_Only,23,unhealthy_recall,-0.06944444444444442
Fusion_60_40_minus_Image_Only,23,unhealthy_f1,-0.06350012700025398
Fusion_60_40_minus_Image_Only,24,accuracy,-0.0482758620689655
Fusion_60_40_minus_Image_Only,24,balanced_accuracy,-0.06218215441516417
Fusion_60_40_minus_Image_Only,24,macro_f1,-0.060577164799142436
Fusion_60_40_minus_Image_Only,24,unhealthy_recall,-0.09523809523809523
Fusion_60_40_minus_Image_Only,24,unhealthy_f1,-0.08795518207282915
Fusion_60_40_minus_Image_Only,25,accuracy,-0.05932203389830504
Fusion_60_40_minus_Image_Only,25,balanced_accuracy,-0.0625
Fusion_60_40_minus_Image_Only,25,macro_f1,-0.0662604225609491
Fusion_60_40_minus_Image_Only,25,unhealthy_recall,-0.125
Fusion_60_40_minus_Image_Only,25,unhealthy_f1,-0.0943695479777954
Fusion_60_40_minus_Image_Only,26,accuracy,0.039735099337748325
Fusion_60_40_minus_Image_Only,26,balanced_accuracy,0.06306632837984782
Fusion_60_40_minus_Image_Only,26,macro_f1,0.051977504691570475
Fusion_60_40_minus_Image_Only,26,unhealthy_recall,0.19354838709677424
Fusion_60_40_minus_Image_Only,26,unhealthy_f1,0.08836046747280957
Fusion_60_40_minus_Image_Only,27,accuracy,-0.03289473684210531
Fusion_60_40_minus_Image_Only,27,balanced_accuracy,-0.04200107009095777
Fusion_60_40_minus_Image_Only,27,macro_f1,-0.042459495875645015
