capture_id,timestamp,plant_observations,image_sensor_agreements,image_fusion_agreements,sensor_fusion_agreements,ph,tds_ppm,air_temp_c,humidity_pct,water_temp_c,camera_lux,image_sensor_disagreements
CAP_20260829_160004,2026-08-29 16:00:04,12,12,12,12,6.12,808.6,32.5,69.4,30.56,220.49539184570312,0
CAP_20260829_161503,2026-08-29 16:15:03,12,12,12,12,6.12,809.3,32.1,69.2,30.5,164.55990600585938,0
CAP_20260829_163004,2026-08-29 16:30:04,12,12,12,12,6.17,809.8,31.8,70.8,30.44,127.6761703491211,0
CAP_20260829_164504,2026-08-29 16:45:04,12,12,12,12,6.07,811.7,31.7,69.8,30.31,119.05323028564453,0
CAP_20260830_063007,2026-08-30 06:30:07,12,12,12,12,6.32,811.3,27.6,85.8,28.87,34.082618713378906,0
CAP_20260830_064504,2026-08-30 06:45:04,12,0,12,0,6.21,776.2,29.1,80.0,28.87,76.32524871826172,12
CAP_20260830_070004,2026-08-30 07:00:04,12,0,12,0,6.21,772.9,29.6,77.1,28.87,122.84605407714844,12
CAP_20260830_071503,2026-08-30 07:15:03,12,0,12,0,6.35,788.2,30.0,77.0,28.94,161.6306915283203,12
CAP_20260830_073004,2026-08-30 07:30:04,12,9,12,9,6.26,811.7,30.4,77.3,29.0,142.105712890625,3
CAP_20260830_074504,2026-08-30 07:45:04,12,12,12,12,6.3,811.1,30.6,75.5,28.94,115.23822021484375,0
CAP_20260830_080003,2026-08-30 08:00:03,12,12,12,12,6.22,809.1,30.4,76.5,28.94,221.38990783691406,0
CAP_20260830_081503,2026-08-30 08:15:03,12,12,12,12,6.3,805.8,30.5,75.2,29.0,126.1030502319336,0
CAP_20260830_083004,2026-08-30 08:30:04,12,12,12,12,6.24,805.7,30.7,74.6,28.94,285.3414306640625,0
CAP_20260830_084504,2026-08-30 08:45:04,12,12,12,12,6.25,803.2,31.0,74.0,29.0,283.06500244140625,0
CAP_20260830_090003,2026-08-30 09:00:03,12,12,12,12,6.34,800.6,31.2,73.0,29.06,199.44091796875,0
CAP_20260830_091503,2026-08-30 09:15:03,12,0,12,0,6.26,798.4,31.4,71.1,29.12,236.2327423095703,12
CAP_20260830_093003,2026-08-30 09:30:03,12,0,12,0,6.25,794.7,31.4,71.0,29.25,396.61505126953125,12
CAP_20260830_094504,2026-08-30 09:45:04,12,0,12,0,6.28,795.8,31.6,71.1,29.12,396.1837158203125,12
CAP_20260830_100003,2026-08-30 10:00:03,12,0,12,0,6.31,792.0,32.1,68.8,29.25,229.28524780273438,12
CAP_20260830_101503,2026-08-30 10:15:03,12,0,12,0,6.35,789.3,32.2,68.2,29.31,333.3263244628906,12
CAP_20260830_103004,2026-08-30 10:30:04,12,0,12,0,6.24,785.5,32.2,68.7,29.44,320.6162109375,12
CAP_20260830_104504,2026-08-30 10:45:04,12,0,12,0,6.3,782.8,32.2,68.9,29.5,254.83810424804688,12
CAP_20260830_110003,2026-08-30 11:00:03,12,0,12,0,6.29,781.1,32.2,67.5,29.5,290.756103515625,12
CAP_20260830_111504,2026-08-30 11:15:04,12,0,12,0,6.29,778.2,32.5,68.3,29.56,265.83599853515625,12
CAP_20260830_113004,2026-08-30 11:30:04,12,0,12,0,6.31,774.3,32.6,67.3,29.69,351.5068054199219,12
CAP_20260830_114504,2026-08-30 11:45:04,12,0,12,0,6.34,772.7,32.7,65.6,29.75,338.7217102050781,12
CAP_20260830_120003,2026-08-30 12:00:03,12,0,12,0,6.43,769.5,33.0,63.7,29.87,317.8965148925781,12
CAP_20260830_121504,2026-08-30 12:15:04,12,0,12,0,6.42,766.4,32.9,64.5,29.94,332.2815246582031,12
CAP_20260830_123004,2026-08-30 12:30:04,12,0,12,0,6.44,763.6,32.9,64.2,30.0,320.39605712890625,12
CAP_20260830_124503,2026-08-30 12:45:03,12,0,12,0,6.42,760.6,32.9,64.1,30.06,316.7785339355469,12
CAP_20260830_130004,2026-08-30 13:00:04,12,0,12,0,6.43,758.5,32.7,64.4,30.06,346.6535339355469,12
CAP_20260830_131504,2026-08-30 13:15:04,12,0,12,0,6.36,755.5,32.9,64.1,30.12,326.9332275390625,12
CAP_20260830_133004,2026-08-30 13:30:04,12,0,12,0,6.35,752.2,33.1,64.0,30.19,307.5849609375,12
CAP_20260830_134503,2026-08-30 13:45:03,12,0,12,0,6.46,751.7,33.2,61.5,30.19,267.63360595703125,12
CAP_20260830_140003,2026-08-30 14:00:03,12,0,12,0,6.41,748.3,32.9,64.5,30.19,296.595458984375,12
CAP_20260830_141504,2026-08-30 14:15:04,12,0,12,0,6.36,745.2,33.1,64.6,30.25,390.412109375,12
CAP_20260830_143004,2026-08-30 14:30:04,12,0,12,0,6.44,741.9,32.8,65.3,30.31,300.9665832519531,12
CAP_20260830_144503,2026-08-30 14:45:03,12,3,11,4,6.35,742.4,33.0,65.2,30.31,1453.8948974609375,9
CAP_20260830_150004,2026-08-30 15:00:04,12,0,10,2,6.36,739.6,32.9,66.7,30.31,149.5739288330078,12
CAP_20260830_151503,2026-08-30 15:15:03,12,0,10,2,6.36,735.9,32.8,66.6,30.37,214.751708984375,12
CAP_20260830_153004,2026-08-30 15:30:04,12,0,10,2,6.39,734.5,32.8,65.9,30.37,158.24197387695312,12
CAP_20260830_154503,2026-08-30 15:45:03,12,0,10,2,6.43,732.4,32.6,65.2,30.37,210.7025604248047,12
